Easting,Northing,Pillows,Lobes,
615839,235139,pillows,lobes,
615851,235159,pillows,lobes,
615760,235171,pillows,lobes,
615860,235177,,,
615861,235142,,,
615830,235135,,,
615823,235165,pillows,lobes,
615809,235154,pillows,,
615810,235154,pillows,lobes,
615873,235096,,,
615898,235070,,lobes,
615955,235012,pillows,,
615987,234978,pillows,,
616053,234916,pillows,lobes,
616082,234886,pillows,,
616052,234825,,,
,,,,
,,pillows,lobes,
616319,234370,pillows,lobes,
616246,234329,,lobes,
,,pillows,,
616212,234302,,lobes,
616218,234317,pillows,lobes,
616144,234279,pillows,lobes,
616094,234257,pillows,lobes,
616009,234213,pillows,lobes,
615944,234182,pillows,lobes,
615884,234151,pillows,,
615848,234133,,,
615847,234132,,,
615831,234124,,,
615790,234096,,,
615778,234082,,lobes,
615766,234066,,lobes,
615733,234028,pillows,lobes,
615736,233961,,,
615756,233939,pillows,lobes,
615815,233861,pillows,lobes,
615863,233813,pillows,lobes,
615908,233855,pillows,lobes,
615918,233736,,,
615924,233723,pillows,lobes,
615917,233659,pillows,lobes,
615979,233639,pillows,lobes,
616010,233587,pillows,lobes,
616034,233538,,,
616046,233508,pillows,lobes,
,,pillows,lobes,
616063,233416,pillows,lobes,
,,pillows,,
616065,233404,,,
616085,233373,pillows,lobes,
616117,233307,,,
616140,233255,pillows,lobes,
616160,233217,,,
616176,233176,pillows,,d
616180,233151,pillows,,d
616180,233151,pillows,,
616194,233125,pillows,lobes,d
616240,233030,,lobes,
,,,,d
,,,,d
616267,232978,pillows,,d
616302,232967,pillows,lobes,d
616331,232913,,,
616338,232879,pillows,lobes,
616327,232792,pillows,lobes,d
616302,232770,pillows,lobes,d
,,pillows,,
